Start Buffer: size=422
FL, LA, RA, FR, dCount, mazeLoc, fwdSpeed, rotSpeed, lVolt, rVolt
Robot Data: [62, 9, 101, 110, 14, 50, 1400, 1729, 13, 58]
Robot Data: [62, 9, 114, 106, 14, 50, 1400, 1850, 10, 61]
Robot Data: [56, 9, 132, 105, 15, 50, 1400, 1850, 7, 57]
Robot Data: [57, 13, 154, 106, 13, 50, 1400, 1850, 14, 64]
Robot Data: [48, 14, 173, 106, 14, 50, 1400, 1850, 14, 57]
Robot Data: [45, 15, 197, 107, 15, 50, 1400, 1850, 14, 50]
Robot Data: [40, 15, 223, 108, 14, 50, 1400, 1850, 17, 53]
Robot Data: [32, 18, 244, 107, 14, 50, 1400, 1850, 20, 50]
Robot Data: [29, 22, 274, 108, 13, 50, 1400, 1850, 26, 52]
Robot Data: [25, 23, 301, 110, 14, 50, 1400, 1850, 20, 51]
Robot Data: [20, 25, 331, 107, 14, 50, 1400, 1850, 18, 53]
Robot Data: [16, 30, 355, 106, 14, 50, 1400, 1850, 15, 56]
Robot Data: [15, 30, 380, 104, 14, 50, 1400, 1850, 13, 58]
Robot Data: [14, 28, 417, 102, 14, 50, 1400, 1850, 12, 59]
