Front Left,Left Angle,Right Angle,Front Right,Distance Count,Maze Location,Forward Speed count,Rotation Speed count,Left Motor Volts Scaled,Right Motor Volts Scaled,Front sum,Front diff,Distance Count Travelled,Distance MM,Profile Forward Speed mm,Profile Rotation Speed deg,LeftVolts,RightVolts,Maze X,Maze Y
28,4,7,28,47,35,3960,0,75,71,56,0,5290,940.75553022756,704.23287328944,0.0,2.6999999999999997,2.5559999999999996,2,3
29,4,8,32,44,35,3680,0,68,61,61,-3,5334,948.580339930776,654.43862972352,0.0,2.448,2.1959999999999997,2,3
34,5,10,38,40,35,3400,0,70,59,72,-4,5374,955.693803297336,604.6443861576,0.0,2.52,2.1239999999999997,2,3
37,6,11,41,40,35,3120,0,55,37,78,-4,5414,962.807266663896,554.85014259168,0.0,1.9799999999999998,1.3319999999999999,2,3
43,9,13,46,36,35,2840,0,47,35,89,-3,5450,969.2093836938,505.05589902576,0.0,1.692,1.26,2,3
51,10,14,50,34,35,2560,0,32,26,101,1,5484,975.255827555376,455.26165545984,0.0,1.152,0.9359999999999999,2,3
57,11,15,55,31,36,2280,0,14,27,112,2,5515,980.76876166446,405.46741189392,0.0,0.504,0.972,2,4
63,14,17,59,25,36,2300,0,36,50,122,4,5540,985.21467626856,409.0241435772,0.0,1.2959999999999998,1.7999999999999998,2,4
67,17,18,63,24,36,2300,303,35,56,130,4,5564,989.482754288496,409.0241435772,41.164714285671,1.26,2.016,2,4
73,16,24,67,25,36,2300,606,25,57,140,6,5589,993.928668892596,409.0241435772,82.329428571342,0.8999999999999999,2.052,2,4
74,18,25,73,24,36,2300,909,17,71,147,1,5613,998.196746912532,409.0241435772,123.49414285701302,0.612,2.5559999999999996,2,4
80,20,30,82,24,36,2300,1212,10,76,162,-2,5637,1002.464824932468,409.0241435772,164.658857142684,0.36,2.7359999999999998,2,4
84,20,36,94,23,36,2300,1515,11,82,178,-10,5660,1006.55506636824,409.0241435772,205.82357142835502,0.39599999999999996,2.952,2,4
83,20,46,108,22,36,2300,1818,14,87,191,-25,5682,1010.467471219848,409.0241435772,246.98828571402603,0.504,3.1319999999999997,2,4
